platform,brand,legalEntity,comuna,project,pepCode,amount
Meta,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Parque Brasil,I-ALM-2285,1341583
Meta,Almagro Inmobiliaria,Arcilla Roja,Providencia,Almagro Hub,I-ALM-2189,1340866
Google Ads,Almagro Inmobiliaria,Almagro S.A,Vitacura,Signature,I-ALM-2354,1331313
Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Indico,I-ALM-1453,1279349
Meta,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Valle del Mar,I-ALM-1453,1270312
Meta,Almagro Inmobiliaria,Almagro S.A,Santiago,Signature,I-ALM-2354,1227901
Google Ads,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,San Eugenio 2,I-ALM-2227,1171237
Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago Centro,Carrera 4,I-ALM-2275,1167645
Meta,Pilares,ICSA,Estación Central,Conde del Maule,I-SVS-2255,1145317
Meta,Pilares,ICSA,Independencia,Santos Dumont,I-SVS-2246,1143508
Meta,Almagro Inmobiliaria,Arcilla Roja,AON,Almagro Hub,I-ALM-2189,1105151
Meta,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,Almagro Plus,I-ALM-2234,1040481
Meta,Almagro Inmobiliaria,Almagro S.A,Santiago,San Eugenio 2,I-ALM-2227,1035897
Meta,Almagro Inmobiliaria,Almagro S.A,Santiago,Carrera 4,I-ALM-2275,1031790
Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Valle del Mar,I-ALM-1453,1007332
Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago,Signature,I-ALM-2354,975188
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Las Condes,PLP 1,I-ALM-2226,954009
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Las Condes,PLP 2,I-ALM-2306,954008
Meta,Pilares,Arcilla Roja,Santiago Centro,Franklin,I-ALM-2212,945117
Google Ads,Almagro Inmobiliaria,Almagro S.A,Providencia,Lyon Bilbao,I-ALM-2211,930554
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Providencia,Rengo,I-ALM-2288,930553
Google Ads,Socovesa,INSOCO,La Florida,Plaza Mirador,I-STG-2391,903939
Google Ads,Pilares,Pilares S.A,Ñuñoa,Guillermo Mann,I-SVS-2250,888251
Google Ads,Pilares,ICSA,La Cisterna,Lo Ovalle,I-SVS-2296,886460
Google Ads,Pilares,Pilares S.A,La Florida,Rodriguez Velasco,I-SVS-2289,886316
Google Ads,Pilares,Pilares S.A,La Florida,Vicuña Mackenna 7244,I-SVS-2131,886315
Google Ads,Almagro Inmobiliaria,Almagro S.A,Lo Barnechea,Los Cactus,I-ALM-2342,853751
Google Ads,Almagro Inmobiliaria,Almagro S.A,Providencia,Balance,I-ALM-2358,831624
Google Ads,Socovesa,Socovesa Sur S.A,Temuco,N3,I-SUR-2331,818053
Google Ads,Socovesa,Pilares S.A,La Florida,Rodriguez Velasco,I-SVS-2289,810042
Google Ads,Socovesa,Pilares S.A,La Florida,Vicuña Mackenna 7244,I-SVS-2131,810042
Google Ads,Socovesa,Socovesa Sur S.A,Chillán,PDL,I-SUR-2372,779069
Google Ads,Socovesa,Socovesa Sur S.A,Valdivia,García Reyes,I-SUR-2283,735903
Meta,Pilares,ICSA,AON,Edificio Ñuble,I-SVS-2173,581706
Meta,Pilares,ICSA,AON,Lo Ovalle,I-SVS-2296,581705
Meta,Pilares,Pilares S.A,AON,Rodriguez Velasco,I-SVS-2289,581705
