Nivel,Referencia solicitada,Mes,Razon social,Plataforma,Marca,Comuna,Proyecto,PEP,Nombre de campana,ID transaccion / N factura,Fecha de pago,N referencia,Codigo descripcion cobro,Desglose Cobro TC,Monto moneda origen,Monto US,Validacion monto,Monto real visible,Monto aperturado,Invoice ID,Invoice date,Reference type,Mapping brand,Matched,Split index,Split count
TOTAL CAMPANA,U5FV3L56E2,2026-04,Arcilla Roja,Meta,Almagro Inmobiliaria,AON,PLP 1,I-ALM-2226,FB_Advantage_Almagro,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,193351.0,600000.0,666.36,Coincide,193351.0,,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,,8
Apertura,U5FV3L56E2,2026-04,Arcilla Roja,Meta,Almagro Inmobiliaria,AON,Almagro Hub,I-ALM-2189,FB_Advantage_Almagro,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,24169,600000.0,666.36,Coincide,,24169.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,1,8
Apertura,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,AON,Carrera 4,I-ALM-2275,FB_Advantage_Almagro,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,24169,600000.0,666.36,Coincide,,24169.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,2,8
Apertura,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,AON,Indico,I-ALM-1453,FB_Advantage_Almagro,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,24169,600000.0,666.36,Coincide,,24169.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,3,8
Apertura,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,AON,Los Cactus,I-ALM-2342,FB_Advantage_Almagro,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,24169,600000.0,666.36,Coincide,,24169.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,4,8
Apertura,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,AON,Lyon Bilbao,I-ALM-2211,FB_Advantage_Almagro,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,24169,600000.0,666.36,Coincide,,24169.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,5,8
Apertura,U5FV3L56E2,2026-04,Arcilla Roja,Meta,Almagro Inmobiliaria,AON,PLP 1,I-ALM-2226,FB_Advantage_Almagro,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,24169,600000.0,666.36,Coincide,,24169.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,6,8
Apertura,U5FV3L56E2,2026-04,Arcilla Roja,Meta,Almagro Inmobiliaria,AON,PLP 2,I-ALM-2306,FB_Advantage_Almagro,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,24169,600000.0,666.36,Coincide,,24169.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,7,8
Apertura,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,AON,San Eugenio 2,I-ALM-2227,FB_Advantage_Almagro,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,24168,600000.0,666.36,Coincide,,24168.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,8,8
TOTAL CAMPANA,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,Marca,Insigne,I-ALM-2157,FB_Almagro_Awareness,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,80052.0,600000.0,666.36,Coincide,80052.0,,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,,14
Apertura,U5FV3L56E2,2026-04,Madagascar,Meta,Almagro Inmobiliaria,Marca,Almagro District,I-ALM-2399,FB_Almagro_Awareness,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,5718,600000.0,666.36,Coincide,,5718.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,1,14
Apertura,U5FV3L56E2,2026-04,Arcilla Roja,Meta,Almagro Inmobiliaria,Marca,Almagro Hub,I-ALM-2189,FB_Almagro_Awareness,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,5718,600000.0,666.36,Coincide,,5718.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,2,14
Apertura,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,Marca,Almagro Plus,I-ALM-2234,FB_Almagro_Awareness,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,5718,600000.0,666.36,Coincide,,5718.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,3,14
